trial,width,height,density,mode,ok,ms,expansions,path_cells
0,100,100,0.1,dijkstra,True,34.4376,8996,198
0,100,100,0.1,astar,True,29.163,7606,198
0,100,100,0.1,jps4,True,17.6827,2311,198
1,100,100,0.1,dijkstra,True,32.7378,8977,198
1,100,100,0.1,astar,True,29.8178,7787,198
1,100,100,0.1,jps4,True,18.8212,2395,198
2,100,100,0.1,dijkstra,True,31.6037,9022,198
2,100,100,0.1,astar,True,30.3174,8163,198
2,100,100,0.1,jps4,True,17.4397,2347,198
3,100,100,0.1,dijkstra,True,35.7321,9020,199
3,100,100,0.1,astar,True,31.6415,7625,199
3,100,100,0.1,jps4,True,18.6707,2258,199
4,100,100,0.1,dijkstra,True,33.1542,8954,201
4,100,100,0.1,astar,True,34.8107,8752,201
4,100,100,0.1,jps4,True,22.7914,2977,201
5,100,100,0.1,dijkstra,True,30.4585,8962,198
5,100,100,0.1,astar,True,29.9278,7886,198
5,100,100,0.1,jps4,True,17.5864,2329,198
6,100,100,0.1,dijkstra,True,33.4389,8994,199
6,100,100,0.1,astar,True,30.3079,7825,199
6,100,100,0.1,jps4,True,17.7767,2309,199
7,100,100,0.1,dijkstra,True,38.6285,8974,199
7,100,100,0.1,astar,True,38.8014,7372,199
7,100,100,0.1,jps4,True,22.5461,2161,199
8,100,100,0.1,dijkstra,True,31.1883,8960,199
8,100,100,0.1,astar,True,30.0444,7497,199
8,100,100,0.1,jps4,True,20.2378,2302,199
9,100,100,0.1,dijkstra,True,32.7087,8965,199
9,100,100,0.1,astar,True,30.2722,7890,199
9,100,100,0.1,jps4,True,17.7441,2397,199
10,100,100,0.1,dijkstra,True,32.7944,9016,199
10,100,100,0.1,astar,True,29.7741,7965,199
10,100,100,0.1,jps4,True,18.572,2316,199
11,100,100,0.1,dijkstra,True,32.4065,9010,199
11,100,100,0.1,astar,True,30.6871,7990,199
11,100,100,0.1,jps4,True,16.9915,2246,199
12,100,100,0.1,dijkstra,True,31.5593,8978,199
12,100,100,0.1,astar,True,30.4271,7861,199
12,100,100,0.1,jps4,True,19.6581,2436,199
13,100,100,0.1,dijkstra,True,31.0484,9024,199
13,100,100,0.1,astar,True,33.8317,7972,199
13,100,100,0.1,jps4,True,19.3595,2383,199
14,100,100,0.1,dijkstra,True,31.7844,8933,199
14,100,100,0.1,astar,True,28.5798,7662,199
14,100,100,0.1,jps4,True,18.7239,2428,199
15,100,100,0.1,dijkstra,True,31.786,8976,199
15,100,100,0.1,astar,True,28.8451,7708,199
15,100,100,0.1,jps4,True,19.4753,2361,199
16,100,100,0.1,dijkstra,True,34.613,9006,199
16,100,100,0.1,astar,True,29.6111,7909,199
16,100,100,0.1,jps4,True,19.5206,2431,199
17,100,100,0.1,dijkstra,True,32.0803,8985,199
17,100,100,0.1,astar,True,31.6777,8163,199
17,100,100,0.1,jps4,True,19.158,2463,199
18,100,100,0.1,dijkstra,True,31.6985,9011,199
18,100,100,0.1,astar,True,30.4687,7973,199
18,100,100,0.1,jps4,True,19.0435,2362,199
19,100,100,0.1,dijkstra,True,31.5329,9032,199
19,100,100,0.1,astar,True,29.9694,8008,199
19,100,100,0.1,jps4,True,18.7535,2303,199
20,100,100,0.1,dijkstra,True,30.4648,9000,199
20,100,100,0.1,astar,True,30.8348,7720,199
20,100,100,0.1,jps4,True,18.2801,2298,199
21,100,100,0.1,dijkstra,True,33.4324,8984,199
21,100,100,0.1,astar,True,29.515,7666,199
21,100,100,0.1,jps4,True,18.9681,2326,199
22,100,100,0.1,dijkstra,True,32.3662,8987,199
22,100,100,0.1,astar,True,30.3396,7937,199
22,100,100,0.1,jps4,True,17.9937,2273,199
23,100,100,0.1,dijkstra,True,31.0096,8980,199
23,100,100,0.1,astar,True,30.6316,8028,199
23,100,100,0.1,jps4,True,18.8078,2413,199
24,100,100,0.1,dijkstra,True,31.4035,9005,199
24,100,100,0.1,astar,True,29.0687,7495,199
24,100,100,0.1,jps4,True,18.0292,2225,199
25,100,100,0.1,dijkstra,True,30.4059,8929,199
25,100,100,0.1,astar,True,32.7418,8675,199
25,100,100,0.1,jps4,True,21.6697,2894,199
26,100,100,0.1,dijkstra,True,32.9029,8925,197
26,100,100,0.1,astar,True,30.539,8011,197
26,100,100,0.1,jps4,True,18.0441,2494,197
27,100,100,0.1,dijkstra,True,31.6171,8949,199
27,100,100,0.1,astar,True,29.3825,7673,199
27,100,100,0.1,jps4,True,18.1493,2321,199
28,100,100,0.1,dijkstra,True,31.5085,9065,199
28,100,100,0.1,astar,True,30.9841,8206,199
28,100,100,0.1,jps4,True,17.9248,2270,199
29,100,100,0.1,dijkstra,True,31.0253,9015,199
29,100,100,0.1,astar,True,30.2352,8067,199
29,100,100,0.1,jps4,True,18.6569,2342,199
0,100,100,0.15,dijkstra,True,29.7588,8443,200
0,100,100,0.15,astar,True,23.657,6406,200
0,100,100,0.15,jps4,True,16.8423,2501,200
1,100,100,0.15,dijkstra,True,30.4397,8496,198
1,100,100,0.15,astar,True,24.3075,6029,198
1,100,100,0.15,jps4,True,15.4858,2276,198
2,100,100,0.15,dijkstra,True,28.7998,8523,198
2,100,100,0.15,astar,True,24.0205,6036,198
2,100,100,0.15,jps4,True,15.6911,2334,198
3,100,100,0.15,dijkstra,True,28.8661,8554,201
3,100,100,0.15,astar,True,23.2644,6067,201
3,100,100,0.15,jps4,True,15.4005,2277,201
4,100,100,0.15,dijkstra,True,30.0823,8501,199
4,100,100,0.15,astar,True,26.762,7107,199
4,100,100,0.15,jps4,True,18.4537,2742,199
5,100,100,0.15,dijkstra,True,31.0173,8530,199
5,100,100,0.15,astar,True,24.7902,6584,199
5,100,100,0.15,jps4,True,17.0129,2461,199
6,100,100,0.15,dijkstra,True,44.9467,8462,199
