density,trial,mode,ok,ms,expansions,path_cells
0.15,0,dijkstra,True,6.6212,2080,88
0.15,0,astar,True,3.8839,1140,88
0.15,0,jps4,True,3.7541,409,88
0.15,1,dijkstra,True,6.4628,2041,76
0.15,1,astar,True,2.4861,747,76
0.15,1,jps4,True,11.764,1346,92
0.15,2,dijkstra,True,6.7044,2017,71
0.15,2,astar,True,2.9019,854,71
0.15,2,jps4,True,2.244,282,71
0.15,3,dijkstra,True,5.8835,1931,72
0.15,3,astar,True,2.5508,752,72
0.15,3,jps4,True,3.3543,319,74
0.15,4,dijkstra,True,6.5406,2061,76
0.15,4,astar,True,3.2981,970,76
0.15,4,jps4,True,2.8083,342,76
0.15,5,dijkstra,True,6.5596,2097,85
0.15,5,astar,True,3.9087,1147,85
0.15,5,jps4,True,2.6001,313,85
0.15,6,dijkstra,True,6.2837,2028,73
0.15,6,astar,True,2.9615,897,73
0.15,6,jps4,True,1.9795,219,73
0.15,7,dijkstra,True,6.8446,2090,74
0.15,7,astar,True,2.9198,851,74
0.15,7,jps4,True,4.9544,606,76
0.15,8,dijkstra,True,6.6688,2138,87
0.15,8,astar,True,4.5623,1360,87
0.15,8,jps4,True,7.1457,814,89
0.15,9,dijkstra,True,6.5564,2093,76
0.15,9,astar,True,3.2157,934,76
0.15,9,jps4,True,3.6173,425,76
0.15,10,dijkstra,True,6.6561,2083,82
0.15,10,astar,True,5.0595,1402,82
0.15,10,jps4,True,5.4451,661,82
0.15,11,dijkstra,True,7.4159,2094,76
0.15,11,astar,True,4.0909,1141,76
0.15,11,jps4,True,6.6816,788,76
0.15,12,dijkstra,True,6.3948,2056,78
0.15,12,astar,True,4.3058,1217,78
0.15,12,jps4,True,4.3948,541,78
0.15,13,dijkstra,True,6.3728,2014,68
0.15,13,astar,True,2.4102,721,68
0.15,13,jps4,True,3.1677,378,68
0.15,14,dijkstra,True,7.0215,2111,80
0.15,14,astar,True,3.4272,1043,80
0.15,14,jps4,True,6.0248,696,82
0.15,15,dijkstra,True,6.6599,2059,84
0.15,15,astar,True,4.0562,1228,84
0.15,15,jps4,True,4.6516,554,84
0.15,16,dijkstra,True,7.7975,2079,81
0.15,16,astar,True,3.6572,1038,81
0.15,16,jps4,True,2.3841,293,81
0.15,17,dijkstra,True,6.6237,2043,72
0.15,17,astar,True,3.3331,955,72
0.15,17,jps4,True,2.8776,336,72
0.15,18,dijkstra,True,9.1316,1892,68
0.15,18,astar,True,2.7813,737,68
0.15,18,jps4,True,4.7198,385,68
0.15,19,dijkstra,True,7.3682,2093,72
0.15,19,astar,True,3.6067,995,72
0.15,19,jps4,True,3.36,375,72
0.15,20,dijkstra,True,6.8214,2148,79
0.15,20,astar,True,4.7015,1028,79
0.15,20,jps4,True,5.3873,619,79
0.15,21,dijkstra,True,7.6797,2107,89
0.15,21,astar,True,4.7143,1379,89
0.15,21,jps4,True,3.4271,392,89
0.15,22,dijkstra,True,6.8945,2065,77
0.15,22,astar,True,3.7571,1027,77
0.15,22,jps4,True,2.9669,341,77
0.15,23,dijkstra,True,6.809,2073,69
0.15,23,astar,True,3.1205,909,69
0.15,23,jps4,True,2.3934,287,69
0.28,0,dijkstra,True,6.2829,1778,84
0.28,0,astar,True,1.9553,586,84
0.28,0,jps4,True,14.2831,2042,84
0.28,1,dijkstra,True,4.8356,1487,81
0.28,1,astar,True,2.1031,640,81
0.28,1,jps4,True,2.1545,647,81
0.28,2,dijkstra,True,4.9866,1693,91
